,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clusters,uri,song,artist
0,0.636,0.517,7,-6.472,1,0.033,0.382,0.0,0.331,0.489,121.046,16,spotify:track:4vH71OJLrQU6G7ICE58HAy,You Got Me,Colbie Caillat
0,0.644,0.834,4,-6.473,1,0.0275,0.156,0.0,0.112,0.593,117.043,19,spotify:track:5wigId6acS7CJadbxikeFp,Fallin' For You,Colbie Caillat
0,0.649,0.702,3,-6.39,1,0.0276,0.461,0.0,0.187,0.657,123.976,19,spotify:track:4QWxwgXvEfvzz69pOI1VbF,Rainbow,Colbie Caillat
0,0.6,0.544,5,-7.684,1,0.0327,0.462,0.0,0.116,0.307,125.931,2,spotify:track:6TJ7DcADCPGTxBDGK4gQF1,Droplets,Colbie Caillat
0,0.506,0.639,3,-5.222,1,0.0285,0.171,0.0,0.315,0.385,144.073,10,spotify:track:0OJDImKLhyzlk7U6CwoRN2,I Never Told You,Colbie Caillat
0,0.636,0.354,1,-7.348,1,0.0352,0.495,0.0,0.0815,0.179,125.967,17,spotify:track:3b2YramtkawWWsG5DzqXFd,Fearless,Colbie Caillat
0,0.625,0.783,2,-6.035,1,0.0289,0.00549,0.0,0.249,0.614,117.948,19,spotify:track:4yLjc2nY267deiYFQXBRvT,Runnin' Around,Colbie Caillat
0,0.62,0.548,4,-6.994,1,0.0289,0.131,0.0,0.149,0.115,115.248,2,spotify:track:1PS7QsgSJ6QJFBL4iIeW09,Break Through,Colbie Caillat
0,0.662,0.762,9,-6.766,1,0.0373,0.19,0.0,0.281,0.719,121.956,4,spotify:track:1sdt5jpE6fckd2svGnnTYp,It Stops Today,Colbie Caillat
0,0.474,0.293,3,-10.736,1,0.0293,0.623,0.0,0.0924,0.353,112.485,5,spotify:track:4LQxVaFUDBxmuU7KgmATmm,Breakin' At The Cracks,Colbie Caillat
0,0.646,0.767,8,-8.06,1,0.0274,0.214,1.26e-05,0.112,0.667,133.985,4,spotify:track:2uEgmRbjnr8A5edfx3WiVl,What I Wanted to Say,Colbie Caillat
0,0.46,0.644,9,-6.243,1,0.0302,0.155,0.000287,0.147,0.408,179.953,10,spotify:track:1al2rjOJQpcwlO0CVNtPh2,Out Of My Mind,Colbie Caillat
0,0.517,0.787,9,-4.948,1,0.0306,0.0587,0.0,0.114,0.493,127.996,4,spotify:track:2ws5xZ7GJYXzlGGiIjr6CE,Don't Hold Me Down,Colbie Caillat
0,0.569,0.791,6,-5.23,0,0.0277,0.00078,0.000296,0.138,0.642,132.017,13,spotify:track:3vXTrEkiBLDAwaNOl8xxQC,Never Let You Go,Colbie Caillat
0,0.468,0.483,7,-9.445,1,0.0307,0.651,0.0,0.155,0.332,95.986,1,spotify:track:2x2m05cuGSSKzUgGk1lLGX,Stay With Me,Colbie Caillat
0,0.521,0.734,7,-4.668,1,0.0392,0.365,0.0,0.132,0.356,123.84,2,spotify:track:3MDQPA7rozKpLiIE3vpSyN,Wrapped in Red,Kelly Clarkson
0,0.509,0.812,8,-5.439,1,0.0537,0.00128,1.99e-05,0.214,0.689,159.878,4,spotify:track:2mQeI6pqrBgBvBvqyOgXcN,Underneath the Tree,Kelly Clarkson
0,0.224,0.221,7,-10.463,1,0.035,0.947,2.19e-06,0.108,0.174,144.21,1,spotify:track:5RWOu5w8T3OxipVyUklCPU,Have Yourself a Merry Little Christmas,Kelly Clarkson
0,0.572,0.895,5,-2.654,1,0.0644,0.0134,0.0,0.216,0.922,145.008,4,spotify:track:6Rw3FmnThrPFVzqZ8bUL28,Run Run Rudolph,Kelly Clarkson
0,0.302,0.619,11,-5.8,1,0.0438,0.332,0.0,0.104,0.262,185.594,10,spotify:track:1a3nqIkJ93gorATPvNbYkE,Please Come Home for Christmas (Bells Will Be Ringing),Kelly Clarkson
0,0.337,0.644,9,-4.379,1,0.0329,0.125,0.0,0.165,0.256,173.111,10,spotify:track:552L8lUSNUATDAs2Ub7PTu,Every Christmas,Kelly Clarkson
0,0.652,0.493,1,-7.929,1,0.032,0.515,4.29e-05,0.141,0.471,95.089,5,spotify:track:6sZzkgybkfVC4BAgYIKuEm,Blue Christmas,Kelly Clarkson
